n,m,k,insert_calls,deletemin_calls,update_calls,heapify_up_calls,heapify_down_calls,insert_heapify_up,deletemin_heapify_up,deletemin_heapify_down,update_heapify_up,update_heapify_down,r_insert,r_deletemin,r_update,i_ratio,d_ratio,u_ratio,log_k_n
4096,8192,2,3266,3266,200,5267,26594,4884,0,26594,383,0,407.0,2216.1666666666665,31.916666666666668,0.79736328125,0.79736328125,0.0244140625,12.0
4096,8192,2,3266,3266,206,5249,26301,4859,0,26301,390,0,404.9166666666667,2191.75,32.5,0.79736328125,0.79736328125,0.025146484375,12.0
4096,8192,2,3266,3266,210,5341,26721,4916,0,26721,425,0,409.6666666666667,2226.75,35.416666666666664,0.79736328125,0.79736328125,0.025634765625,12.0
4096,8192,2,3268,3268,191,5314,26400,4926,0,26400,388,0,410.5,2200.0,32.333333333333336,0.7978515625,0.7978515625,0.0233154296875,12.0
4096,8192,2,1,1,0,1,1,1,0,1,0,0,0.08333333333333333,0.08333333333333333,0.0,0.000244140625,0.000244140625,0.0,12.0
4096,8192,2,3266,3266,216,5313,26708,4880,0,26708,433,0,406.6666666666667,2225.6666666666665,36.083333333333336,0.79736328125,0.79736328125,0.0263671875,12.0
4096,8192,2,3266,3266,187,5240,26443,4880,0,26443,360,0,406.6666666666667,2203.5833333333335,30.0,0.79736328125,0.79736328125,0.0228271484375,12.0
4096,8192,2,3268,3268,205,5369,26687,4958,0,26687,411,0,413.1666666666667,2223.9166666666665,34.25,0.7978515625,0.7978515625,0.0250244140625,12.0
4096,8192,2,1,1,0,1,1,1,0,1,0,0,0.08333333333333333,0.08333333333333333,0.0,0.000244140625,0.000244140625,0.0,12.0
4096,8192,2,3266,3266,201,5231,26636,4841,0,26636,390,0,403.4166666666667,2219.6666666666665,32.5,0.79736328125,0.79736328125,0.0245361328125,12.0
4096,8192,2,3266,3266,190,5289,26544,4933,0,26544,356,0,411.0833333333333,2212.0,29.666666666666668,0.79736328125,0.79736328125,0.023193359375,12.0
4096,8192,2,1,1,0,1,1,1,0,1,0,0,0.08333333333333333,0.08333333333333333,0.0,0.000244140625,0.000244140625,0.0,12.0
4096,16384,2,4014,4014,1265,9044,38290,6576,0,38290,2468,0,548.0,3190.8333333333335,205.66666666666666,0.97998046875,0.97998046875,0.07720947265625,12.0
4096,16384,2,4014,4014,1294,9259,38277,6715,0,38277,2544,0,559.5833333333334,3189.75,212.0,0.97998046875,0.97998046875,0.0789794921875,12.0
4096,16384,2,4014,4014,1239,9115,38315,6740,0,38315,2375,0,561.6666666666666,3192.9166666666665,197.91666666666666,0.97998046875,0.97998046875,0.07562255859375,12.0
4096,16384,2,4014,4014,1358,9373,38351,6667,0,38351,2706,0,555.5833333333334,3195.9166666666665,225.5,0.97998046875,0.97998046875,0.0828857421875,12.0
4096,16384,2,4014,4014,1325,9305,38341,6739,0,38341,2566,0,561.5833333333334,3195.0833333333335,213.83333333333334,0.97998046875,0.97998046875,0.08087158203125,12.0
4096,16384,2,4014,4014,1297,9296,38277,6775,0,38277,2521,0,564.5833333333334,3189.75,210.08333333333334,0.97998046875,0.97998046875,0.07916259765625,12.0
4096,16384,2,4014,4014,1298,9174,38255,6654,0,38255,2520,0,554.5,3187.9166666666665,210.0,0.97998046875,0.97998046875,0.0792236328125,12.0
4096,16384,2,4014,4014,1279,9273,38216,6710,0,38216,2563,0,559.1666666666666,3184.6666666666665,213.58333333333334,0.97998046875,0.97998046875,0.07806396484375,12.0
