n,m,trial,insert_heapify_up,deletemin_heapify_up,deletemin_heapify_down,update_heapify_up,update_heapify_down,insert_calls,deletemin_calls,update_calls,r_insert,r_deletemin,r_update,log_k_n
524288,9961472,0,1007537,0,9049199,1504070,0,524288,524288,823552,0.101143385234632,0.9084198600367496,0.09612213794316378,19.0
524288,9961472,1,1008197,0,9048254,1501129,0,524288,524288,823303,0.10120964050292969,0.9083249945389597,0.09596319881463351,19.0
524288,9961472,2,1007309,0,9049327,1500799,0,524288,524288,823139,0.10112049705103825,0.9084327095433286,0.09596121803563137,19.0
524288,9961472,3,1009241,0,9049075,1501271,0,524288,524288,821981,0.10131444429096423,0.9084074120772513,0.0961266296397298,19.0
524288,9961472,4,1008403,0,9048736,1501395,0,524288,524288,822216,0.10123032017758019,0.908373380962171,0.09610709287302145,19.0
524288,9961472,5,1007968,0,9048410,1500963,0,524288,524288,822592,0.10118665193256579,0.9083406548751028,0.09603552263039143,19.0
524288,9961472,6,1008135,0,9048481,1499863,0,524288,524288,821868,0.1012034165231805,0.9083477823357833,0.0960496793825004,19.0
524288,9961472,7,1006832,0,9047766,1503915,0,524288,524288,823065,0.10107261256167763,0.9082760057951275,0.0961691009247527,19.0
524288,9961472,8,1008199,0,9049353,1500512,0,524288,524288,822999,0.10120984127646998,0.9084353195993524,0.09595918802996563,19.0
524288,9961472,9,1008541,0,9048316,1502844,0,524288,524288,823090,0.1012441735518606,0.9083312185187089,0.09609769603758878,19.0
1048576,20971520,0,2022336,0,19154103,3096847,0,1048576,1048576,1696272,0.0964324951171875,0.9133388042449951,0.09128391555127952,20.0
1048576,20971520,1,2021125,0,19152471,3091099,0,1048576,1048576,1695558,0.0963747501373291,0.9132609844207764,0.09115285351489008,20.0
1048576,20971520,2,2020391,0,19151787,3093521,0,1048576,1048576,1696571,0.096339750289917,0.9132283687591553,0.09116980662760356,20.0
1048576,20971520,3,2021432,0,19153222,3095467,0,1048576,1048576,1697309,0.09638938903808594,0.9132967948913574,0.09118749149388827,20.0
1048576,20971520,4,2018686,0,19151006,3101333,0,1048576,1048576,1698174,0.09625844955444336,0.9131911277770997,0.09131375818967903,20.0
1048576,20971520,5,2021314,0,19152656,3095545,0,1048576,1048576,1696518,0.09638376235961914,0.9132698059082032,0.09123230640641597,20.0
1048576,20971520,6,2020628,0,19153504,3091345,0,1048576,1048576,1695133,0.0963510513305664,0.9133102416992187,0.09118296322471452,20.0
1048576,20971520,7,2019150,0,19153710,3093081,0,1048576,1048576,1696922,0.09628057479858398,0.9133200645446777,0.09113798394976316,20.0
1048576,20971520,8,2021463,0,19152355,3090657,0,1048576,1048576,1694648,0.09639086723327636,0.9132554531097412,0.09118876014369946,20.0
1048576,20971520,9,2022181,0,19151156,3095748,0,1048576,1048576,1695811,0.09642510414123535,0.9131982803344727,0.09127632737374625,20.0
